Gender,Business,Age,Salary,Dependancies,Months,Calls,Type,Billing,Unit_Sales,Total_Sales,Rating,Bonus,BasePay,Unit_Price,Volume,openingbalance,closingbalance,low
Female,0,42,101348.88,No,1,No,Month-to-month,Yes,29.85,29.85,No,400184.25,167411.18,126.25,2163600,123.43,125.839996,122.309998
Male,0,41,112542.58,No,34,Yes,One year,No,56.95,1889.5,No,137811.38,155966.02,125.540001,2386400,125.239998,119.980003,119.940002
Male,0,42,113931.57,No,2,Yes,Month-to-month,Yes,53.85,108.15,Yes,16452.6,212739.13,119.739998,2489500,116.379997,114.949997,114.93
Male,0,39,93826.63,No,45,No,One year,No,42.3,1840.75,No,198306.9,77916,117.440002,2006300,115.480003,116.620003,113.5
Female,0,43,79084.1,No,2,Yes,Month-to-month,Yes,70.7,151.65,Yes,182234.59,134401.6,117.330002,1408600,117.010002,114.970001,114.089996
Female,0,44,149756.71,No,8,Yes,Month-to-month,Yes,99.65,820.5,Yes,189082.74,118602,116.059998,1098000,115.510002,115.550003,114.5
Male,0,50,10062.8,Yes,22,Yes,Month-to-month,Yes,89.1,1949.4,No,134426.14,92492.01,117.07,949600,116.459999,112.849998,112.589996
Female,0,29,119346.88,No,10,No,Month-to-month,No,29.75,301.9,No,51322.5,256576.96,115.029999,785300,113.510002,114.379997,110.050003
Female,0,44,74940.5,No,28,Yes,Month-to-month,Yes,104.8,3046.05,Yes,40132.23,176932.64,114.879997,1093700,113.330002,112.529999,111.919998
Male,0,27,71725.73,Yes,62,Yes,One year,No,56.15,3487.95,No,17115.73,285262,115.870003,1523500,113.660004,110.379997,109.870003
Male,0,31,80181.12,Yes,13,Yes,Month-to-month,Yes,49.95,587.45,No,33149.9,194999.39,111.599998,1653900,109.059998,109.300003,108.32
Male,0,24,76390.01,No,16,Yes,Two year,No,18.95,326.8,No,110804.3,99722,110.580002,944300,109.730003,110,108.32
Male,0,34,26260.98,No,58,Yes,One year,No,100.35,5681.1,No,0,294580.02,112.949997,744900,111.879997,111.949997,110.190002
Male,0,25,190857.79,No,49,Yes,Month-to-month,Yes,103.7,5036.3,Yes,21342.59,271329.03,114.629997,703800,111.32,110.120003,110
Male,0,35,65951.65,No,25,Yes,Month-to-month,Yes,105.5,2686.05,No,37424.11,174872.64,111.400002,563100,110.419998,111,107.300003
Female,0,45,64327.26,Yes,69,Yes,Two year,No,113.25,7895.15,No,13957.65,198778.01,112.57,896100,110.769997,110.709999,109.019997
Female,0,58,5097.67,No,52,Yes,One year,No,20.65,1022.95,No,16115.86,268604.57,112.970001,680400,110.900002,112.580002,109.900002
Male,0,24,14406.41,Yes,71,Yes,Two year,No,106.7,7382.25,No,18625.08,140546.87,114.589996,749900,113.349998,114.470001,111.669998
Female,0,45,158684.81,Yes,10,Yes,Month-to-month,No,55.2,528.35,Yes,38115.47,168692.63,114.849998,574200,114,114.5,112.900002
Female,0,24,54724.03,No,21,Yes,Month-to-month,Yes,90.05,1862.9,No,16159.5,257510.59,113.860001,694800,113.25,110.559998,109.75
Male,1,41,170886.17,No,1,No,Month-to-month,Yes,39.65,39.65,Yes,16679.79,257510.48,114.639999,896300,113.379997,114.050003,109.639999
Male,0,32,138555.46,No,12,Yes,One year,No,19.8,202.25,No,15883.56,257510.44,116.32,956300,114.080002,115.709999,114.080002
Male,0,38,118913.53,No,1,Yes,Month-to-month,No,20.15,20.15,Yes,39955.25,140546.88,116.489998,997100,115.120003,114.019997,109.709999
Female,0,46,8487.75,No,58,Yes,Two year,Yes,59.9,3505.1,No,24083.86,168692.63,113.300003,1200500,113.300003,111.160004,110.459999
Male,0,38,187616.16,Yes,49,Yes,Month-to-month,No,59.6,2970.3,No,31909.28,140546.86,112.110001,1725200,111.169998,110.650002,109.639999
Female,0,25,124508.29,No,30,Yes,Month-to-month,Yes,55.3,1530.6,No,11522.18,256470.41,112.110001,1946000,106.730003,107.519997,106.360001
Male,0,36,170041.95,Yes,47,Yes,Month-to-month,Yes,99.35,4749.15,Yes,133695.76,92080.8,109.260002,1319500,105.629997,107.129997,104.110001
Male,0,44,38433.35,Yes,1,No,Month-to-month,No,30.2,30.2,Yes,16063.99,168692.59,109.43,922400,108.559998,107.839996,107.07
Male,0,43,100187.43,No,72,Yes,Two year,Yes,90.25,6369.45,No,2357,261717.6,111.300003,1185100,109.110001,110.769997,107.010002
Female,0,29,53483.21,Yes,17,Yes,Month-to-month,Yes,64.7,1093.1,Yes,15140.54,246225.6,112.110001,921500,110.830002,111.239998,107.970001
Female,1,39,140469.38,No,71,Yes,Two year,Yes,96.35,6766.95,No,25972.64,234325.02,112.199997,440900,111.120003,111.599998,108.93
Male,1,36,156731.91,No,2,Yes,Month-to-month,Yes,95.5,181.65,No,5899.48,254027.63,112.400002,1244300,111.370003,110.330002,107.279999
Female,0,41,81898.81,Yes,27,Yes,One year,No,66.15,1874.45,No,10789.18,248895.7,113.230003,681300,111.360001,113.040001,111.010002
Male,0,42,34410.55,No,1,Yes,Month-to-month,No,20.2,20.2,No,103499.39,104861.39,112.800003,411200,112.370003,111.889999,111.349998
Male,1,29,142033.07,No,1,Yes,Month-to-month,No,45.25,45.25,No,20658,177781.25,112.489998,447300,110.769997,111.559998,109.82
Female,0,45,27822.99,Yes,72,Yes,Two year,No,99.9,7251.7,No,16483.94,101953.2,112.989998,559200,111.599998,112.879997,110.75
Male,0,31,114066.77,No,5,Yes,Month-to-month,Yes,69.7,316.9,Yes,12000,245124.44,114.18,459900,113.339996,112.75,111.010002
Female,0,33,98453.45,No,46,Yes,Month-to-month,Yes,74.8,3548.3,No,111446.2,110661.2,115.360001,971600,113.040001,113.32,111.650002
Male,0,36,40812.9,No,34,Yes,Month-to-month,Yes,106.35,3549.25,Yes,67083.83,132202.26,115.57,694100,114.269997,115.510002,112.650002
Female,0,41,178074.04,No,11,Yes,Month-to-month,Yes,97.85,1105.4,Yes,39540.46,147158.85,117.089996,1159600,115.349998,116.779999,115.199997
Male,0,40,70154.22,Yes,10,Yes,One year,No,49.55,475.7,No,21055.17,168692.66,117.669998,884700,116.489998,117,115.419998
Female,0,51,181297.65,Yes,70,Yes,Two year,Yes,69.2,4872.35,No,21954.96,168692.63,117.480003,692000,116.610001,117.190002,115.57
Female,0,61,94153.83,Yes,17,Yes,One year,No,20.75,418.25,No,27330.59,218930.76,117.480003,898000,116.050003,116.949997,115.989998
Female,0,49,194365.76,No,63,Yes,Two year,Yes,79.85,4861.45,No,15575.26,123013.02,117.370003,844500,116.5,116.709999,115.449997
Female,0,61,158338.39,No,13,Yes,Month-to-month,Yes,76.2,981.45,No,54040.18,196081.86,117.309998,796500,117.050003,116.489998,115.5
Female,0,32,126517.46,No,49,Yes,Month-to-month,Yes,84.5,3906.7,No,0,249375.02,118,416800,116.910004,116.82,114.139999
Male,0,27,119708.21,No,2,Yes,Month-to-month,No,49.25,97,No,14401.43,168692.64,120.760002,590200,117.93,120.620003,116.629997
Female,0,39,117622.8,No,2,Yes,Month-to-month,Yes,80.65,144.15,Yes,0,248895.77,121.040001,495100,120.419998,120.629997,118.599998
Male,0,38,90878.13,No,52,Yes,Two year,Yes,79.75,4217.8,No,14851.04,233867.6,120.760002,515800,119.839996,120.699997,118.089996
Female,0,37,194099.12,Yes,69,Yes,Two year,Yes,64.15,4254.1,No,20848.46,137729.92,121.040001,562100,120.349998,120.82,119.010002
Female,1,44,198059.16,No,43,Yes,Month-to-month,Yes,90.25,3838.75,No,20477.16,168692.59,124.410004,809300,121.010002,124.029999,119.449997
Female,0,36,86424.57,No,15,Yes,Month-to-month,Yes,99.1,1426.4,Yes,0,246305.62,124.559998,1607300,124.25,121.269997,120.089996
Female,1,33,116978.19,No,25,Yes,Month-to-month,Yes,69.5,1752.65,No,26203.69,140546.87,121.839996,1001300,120.860001,121.449997,119.139999
