OrderID,OrderDate,PropertyID,ProductID,Quantity,ProductName,ProductCategory,Price,PropertyCity,PropertyState,sales
1,01-01-2015,17,,1,Office Chair,Furnishings,85,Las Vegas,Nevada,85
163,25-01-2015,17,,2,Office Chair,Furnishings,85,Las Vegas,Nevada,170
1598,22-08-2015,17,41,3,Office Chair,Furnishings,85,Las Vegas,Nevada,255
4155,20-08-2016,17,41,2,Office Chair,Furnishings,85,Las Vegas,Nevada,170
1109,15-06-2015,17,54,2,Chest of Drawers,Furnishings,150,Las Vegas,Nevada,300
2759,06-02-2016,17,54,2,Chest of Drawers,Furnishings,150,Las Vegas,Nevada,300
1251,06-07-2015,17,71,2,Hammer,Maintenance,17,Las Vegas,Nevada,34
4276,06-09-2016,17,71,1,Hammer,Maintenance,17,Las Vegas,Nevada,17
1857,30-09-2015,17,3,3,Washcloth,Housekeeping,3,Las Vegas,Nevada,9
2659,23-01-2016,17,3,2,Washcloth,Housekeeping,3,Las Vegas,Nevada,6
4436,01-10-2016,17,3,2,Washcloth,Housekeeping,3,Las Vegas,Nevada,6
4568,23-10-2016,17,3,3,Washcloth,Housekeeping,3,Las Vegas,Nevada,9
4805,29-11-2016,17,3,2,Washcloth,Housekeeping,3,Las Vegas,Nevada,6
721,19-04-2015,17,45,1,Computer Desk,Furnishings,102,Las Vegas,Nevada,102
3026,14-03-2016,17,45,3,Computer Desk,Furnishings,102,Las Vegas,Nevada,306
3411,07-05-2016,17,45,1,Computer Desk,Furnishings,102,Las Vegas,Nevada,102
3828,02-07-2016,17,45,1,Computer Desk,Furnishings,102,Las Vegas,Nevada,102
4720,15-11-2016,17,45,1,Computer Desk,Furnishings,102,Las Vegas,Nevada,102
218,03-02-2015,17,94,2,Monitor,Public Areas,70,Las Vegas,Nevada,140
1377,23-07-2015,17,94,2,Monitor,Public Areas,70,Las Vegas,Nevada,140
1590,21-08-2015,17,93,1,Terminal,Public Areas,,Las Vegas,Nevada,85
2078,01-11-2015,17,93,3,Terminal,,,Las Vegas,Nevada,255
2803,13-02-2016,17,93,2,Terminal,,,Las Vegas,Nevada,170
4349,17-09-2016,17,93,2,Terminal,,,Las Vegas,Nevada,170
509,19-03-2015,17,61,1,Tape Measure,,,Las Vegas,Nevada,8
1137,19-06-2015,17,61,3,Tape Measure,,,Las Vegas,Nevada,24
1184,26-06-2015,17,61,1,Tape Measure,,,Las Vegas,Nevada,8
2912,01-03-2016,17,61,3,Tape Measure,,,Las Vegas,Nevada,24
23,04-01-2015,17,24,1,Envelopes (Letter),,24,Las Vegas,Nevada,24
4360,18-09-2016,17,24,3,Envelopes (Letter),,24,Las Vegas,Nevada,72
2037,26-10-2015,17,23,2,Printer Toner,Office Supplies,85,Las Vegas,Nevada,170
3985,25-07-2016,17,23,2,Printer Toner,Office Supplies,85,Las Vegas,Nevada,170
4962,24-12-2016,17,23,1,Printer Toner,Office Supplies,85,Las Vegas,Nevada,85
831,06-05-2015,17,20,2,Pens,Office Supplies,30,Las Vegas,Nevada,60
1019,01-06-2015,17,20,2,Pens,Office Supplies,30,Las Vegas,Nevada,60
2426,21-12-2015,17,20,1,Pens,Office Supplies,30,Las Vegas,Nevada,30
2537,06-01-2016,17,20,2,Pens,Office Supplies,30,Las Vegas,Nevada,60
2958,07-03-2016,17,20,2,Pens,Office Supplies,30,Las Vegas,Nevada,60
26,04-01-2015,17,84,2,Tall Chair,Public Areas,75,Las Vegas,Nevada,150
759,25-04-2015,17,84,2,Tall Chair,Public Areas,75,Las Vegas,Nevada,150
1416,29-07-2015,17,84,3,Tall Chair,Public Areas,75,Las Vegas,Nevada,225
2270,27-11-2015,17,84,3,Tall Chair,Public Areas,75,Las Vegas,Nevada,225
2951,06-03-2016,17,84,2,Tall Chair,Public Areas,75,Las Vegas,Nevada,150
3056,19-03-2016,17,84,3,Tall Chair,Public Areas,75,Las Vegas,Nevada,225
1860,01-10-2015,17,89,2,Photograph,Public Areas,45,Las Vegas,Nevada,90
3291,19-04-2016,17,89,3,Photograph,Public Areas,45,Las Vegas,Nevada,135
3293,20-04-2016,17,89,2,Photograph,Public Areas,45,Las Vegas,Nevada,90
3354,28-04-2016,17,89,2,Photograph,Public Areas,45,Las Vegas,Nevada,90
1766,17-09-2015,17,21,3,Printer Paper,Office Supplies,50,Las Vegas,Nevada,150
1663,01-09-2015,17,6,1,Conditioner,Housekeeping,40,Las Vegas,Nevada,40
4138,18-08-2016,17,6,2,Conditioner,Housekeeping,40,Las Vegas,Nevada,80
862,10-05-2015,17,57,3,Wireless Router,Furnishings,70,Las Vegas,Nevada,210
3869,08-07-2016,17,57,1,Wireless Router,Furnishings,70,Las Vegas,Nevada,70
4379,22-09-2016,17,57,2,Wireless Router,Furnishings,70,Las Vegas,Nevada,140
4999,31-12-2016,17,57,1,Wireless Router,Furnishings,70,Las Vegas,Nevada,70
191,29-01-2015,17,70,1,Door Lock,Maintenance,117,Las Vegas,Nevada,117
1441,03-08-2015,17,70,1,Door Lock,Maintenance,117,Las Vegas,Nevada,117
1655,30-08-2015,17,70,2,Door Lock,Maintenance,117,Las Vegas,Nevada,234
2379,13-12-2015,17,70,1,Door Lock,Maintenance,117,Las Vegas,Nevada,117
2568,12-01-2016,17,70,3,Door Lock,Maintenance,117,Las Vegas,Nevada,351
4230,29-08-2016,17,70,3,Door Lock,Maintenance,117,Las Vegas,Nevada,351
1840,28-09-2015,17,52,3,Ironing Board,Furnishings,18,Las Vegas,Nevada,54
3577,28-05-2016,17,52,2,Ironing Board,Furnishings,18,Las Vegas,Nevada,36
4917,16-12-2016,17,52,2,Ironing Board,Furnishings,18,Las Vegas,Nevada,36
556,25-03-2015,17,74,2,Large Plant,Public Areas,35,Las Vegas,Nevada,70
950,23-05-2015,17,74,1,Large Plant,Public Areas,35,Las Vegas,Nevada,35
1153,21-06-2015,17,74,3,Large Plant,Public Areas,35,Las Vegas,Nevada,105
1444,03-08-2015,17,74,3,Large Plant,Public Areas,35,Las Vegas,Nevada,105
1163,22-06-2015,17,33,3,Towel Rack,Furnishings,10,Las Vegas,Nevada,30
666,,17,73,3,Mop,Maintenance,15,Las Vegas,Nevada,45
1760,,17,,3,Moisturizer,Housekeeping,40,Las Vegas,Nevada,120
3662,,17,,1,Moisturizer,Housekeeping,40,Las Vegas,Nevada,40
119,,17,,2,Coffee Table,Public Areas,,Las Vegas,Nevada,206
3498,,17,,2,Coffee Table,Public Areas,,Las Vegas,Nevada,206
3785,,17,,3,Floor Lamp,Furnishings,,Las Vegas,Nevada,165
371,,17,,2,Gaffer's Tape,Maintenance,,Las Vegas,Nevada,54
848,,17,,1,Gaffer's Tape,Maintenance,,Las Vegas,Nevada,27
999,,17,64,3,Gaffer's Tape,Maintenance,,Las Vegas,Nevada,81
