"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl"
"1",NA,"North America","33,565,070","+3,360","759,891",468,"23,248,152","+3,964","9,557,027","21,321","","","","","","North America","","",""
"2",NA,"Asia","25,006,779","+2,278","398,356",36,"23,518,954","+3,406","1,089,469","21,930","","","","","","Asia","","",""
"3",NA,"South America","17,991,688","+463","466,860",21,"16,259,018","+479","1,265,810","18,955","","","","","","South America","","",""
"4",NA,"Europe","34,149,236","+2,097","813,232",25,"23,698,937","+165","9,637,067","25,544","","","","","","Europe","","",""
"5",NA,"Africa","3,924,598","","103,868",NA,"3,484,084","","336,646","2,555","","","","","","Africa","","",""
"6",NA,"Oceania","51,168","+7","1,088",NA,"34,286","+7","15,794","6","","","","","","Australia/Oceania","","",""
"7",NA,"","721","","15",NA,"706","","0","0","","","","","","","","",""
"8",NA,"World","114,689,260","+8,205","2,543,310",550,"90,244,137","+8,021","21,901,813","90,311","14,714","326.3","","","","All","","",""
"9",1,"USA","29,255,344","","525,776",NA,"19,694,306","","9,035,262","14,786","88,042","1,582","359,021,570","1,080,451","332,288,557","North America","11","632","1"
"10",2,"India","11,112,241","+185","157,195",NA,"10,786,457","+1,889","168,589","8,944","8,000","113","216,858,774","156,129","1,388,975,299","Asia","125","8,836","6"
"11",3,"Brazil","10,551,259","","255,018",NA,"9,411,033","","885,208","8,318","49,407","1,194","28,600,000","133,920","213,559,824","South America","20","837","7"
"12",4,"Russia","4,246,079","","86,122",NA,"3,811,797","","348,160","2,300","29,088","590","111,000,000","760,399","145,976,024","Europe","34","1,695","1"
"13",5,"UK","4,176,554","","122,849",NA,"2,905,317","","1,148,388","1,971","61,310","1,803","89,162,545","1,308,859","68,122,332","Europe","16","555","1"
"14",6,"France","3,755,968","","86,454",NA,"254,868","","3,414,646","3,430","57,458","1,323","51,853,607","793,240","65,369,365","Europe","17","756","1"
"15",7,"Spain","3,188,553","","69,142",NA,"2,647,446","","471,965","3,021","68,180","1,478","38,491,517","823,052","46,766,806","Europe","15","676","1"
"16",8,"Italy","2,925,265","","97,699",NA,"2,405,199","","422,367","2,231","48,429","1,617","40,132,887","664,422","60,402,725","Europe","21","618","2"
"17",9,"Turkey","2,701,588","","28,569",NA,"2,572,234","","100,785","1,191","31,806","336","33,175,016","390,575","84,938,841","Asia","31","2,973","3"
"18",10,"Germany","2,450,294","","70,687",NA,"2,248,400","","131,207","2,848","29,183","842","43,950,029","523,454","83,961,653","Europe","34","1,188","2"
"19",11,"Colombia","2,251,690","","59,766",NA,"2,148,249","","43,675","2,240","43,943","1,166","11,458,960","223,627","51,241,336","South America","23","857","4"
"20",12,"Argentina","2,107,365","","51,965",NA,"1,905,021","","150,379","3,505","46,346","1,143","7,436,806","163,554","45,470,082","South America","22","875","6"
"21",13,"Mexico","2,086,938","+2,810","185,715",458,"1,633,900","+3,898","267,323","4,798","16,075","1,430","5,453,322","42,004","129,828,120","North America","62","699","24"
"22",14,"Poland","1,706,986","","43,769",NA,"1,422,829","","240,388","1,503","45,136","1,157","9,868,422","260,938","37,819,061","Europe","22","864","4"
"23",15,"Iran","1,631,169","","60,073",NA,"1,393,125","","177,971","3,732","19,258","709","10,853,800","128,140","84,702,699","Asia","52","1,410","8"
"24",16,"South Africa","1,513,393","","49,993",NA,"1,430,259","","33,141","546","25,307","836","9,077,479","151,791","59,802,408","Africa","40","1,196","7"
"25",17,"Ukraine","1,347,849","","25,982",NA,"1,170,023","","151,844","177","30,943","596","6,845,974","157,166","43,558,754","Europe","32","1,676","6"
"26",18,"Indonesia","1,334,634","","36,166",NA,"1,142,703","","155,765","","4,846","131","10,799,191","39,208","275,435,303","Asia","206","7,616","26"
"27",19,"Peru","1,329,805","","46,494",NA,"1,232,528","","50,783","2,150","39,964","1,397","7,584,699","227,941","33,274,900","South America","25","716","4"
"28",20,"Czechia","1,235,480","","20,339",NA,"1,067,557","","147,584","1,523","115,227","1,897","8,024,849","748,435","10,722,168","Europe","9","527","1"
"29",21,"Netherlands","1,088,690","","15,563",NA,"N/A","N/A","N/A","518","63,443","907","6,970,400","406,200","17,160,033","Europe","16","1,103","2"
"30",22,"Canada","866,503","","21,994",NA,"813,778","","30,731","567","22,826","579","24,425,703","643,441","37,961,073","North America","44","1,726","2"
"31",23,"Chile","825,625","","20,572",NA,"780,530","","24,523","1,659","42,946","1,070","9,366,844","487,228","19,224,767","South America","23","935","2"
"32",24,"Portugal","804,562","","16,317",NA,"718,977","","69,268","484","79,057","1,603","8,220,231","807,732","10,176,932","Europe","13","624","1"
"33",25,"Romania","801,994","","20,350",NA,"740,352","","41,292","1,006","41,875","1,063","6,052,647","316,029","19,152,187","Europe","24","941","3"
"34",26,"Israel","775,807","","5,752",NA,"733,410","","36,645","754","84,349","625","11,959,120","1,300,245","9,197,590","Asia","12","1,599","1"
"35",27,"Belgium","771,511","+2,097","22,077",25,"52,524","+165","696,910","397","66,378","1,899","9,469,086","814,681","11,623,063","Europe","15","526","1"
"36",28,"Iraq","695,489","","13,406",NA,"635,931","","46,152","397","17,040","328","6,846,243","167,737","40,815,271","Asia","59","3,045","6"
"37",29,"Sweden","657,309","","12,826",NA,"N/A","N/A","N/A","234","64,817","1,265","6,139,911","605,456","10,140,977","Europe","15","791","2"
"38",30,"Pakistan","581,365","+1,392","12,896",36,"546,371","+1,094","22,098","1,568","2,599","58","8,990,176","40,186","223,713,940","Asia","385","17,348","25"
"39",31,"Philippines","576,352","","12,318",NA,"534,271","","29,763","785","5,214","111","8,785,105","79,472","110,543,706","Asia","192","8,974","13"
"40",32,"Switzerland","554,932","","9,966",NA,"507,856","","37,110","180","63,811","1,146","5,025,401","577,863","8,696,523","Europe","16","873","2"
